d10,length_value,length_type,speed_value,speed_type,lanes_value,lanes_type
15363715,25.190781430607966,float,30,str,,NoneType
20275701,10.879429217793412,float,30,str,1,str
15067337,137.13799737990948,float,30,str,1,str
1255331671,12.168425829087884,float,30,str,1,str
20275702,7.423566868981981,float,30,str,1,str
96629914,26.678137859319296,float,50,str,2,str
673195452,103.07344717739954,float,30,str,,NoneType
1349802688,10.01387650487711,float,30,str,,NoneType
1349802688,76.48629590268843,float,30,str,,NoneType
1349802698,42.64736848419309,float,30,str,,NoneType
1349802721,23.939194180002936,float,30,str,,NoneType
22893214,83.95934603270864,float,30,str,,NoneType
1350005837,39.12694764504881,float,30,str,,NoneType
22893214,80.71846042514463,float,30,str,,NoneType
1353167283,94.51986156927619,float,30,str,,NoneType
20310063,80.7103334599696,float,30,str,,NoneType
329206813,69.98025324209648,float,30,str,,NoneType
329206813,33.05453589800461,float,30,str,,NoneType
1355196516,61.24941029457312,float,30,str,,NoneType
406377444,48.51824536208528,float,30,str,,NoneType
406377446,63.43899569585399,float,30,str,,NoneType
406377447,58.74135719986983,float,30,str,,NoneType
406377444,2.235965089995422,float,30,str,,NoneType
406377444,85.67309021486253,float,30,str,,NoneType
672990640,35.68812426252765,float,30,str,,NoneType
406377444,114.33609356525345,float,30,str,,NoneType
1387026340,42.23996111251203,float,30,str,,NoneType
1041804315,2.8735552394406043,float,,NoneType,,NoneType
1198095904,4.956227631605539,float,,NoneType,2,str
22893210,75.24402243926174,float,30,str,,NoneType
157755956,27.664404409749388,float,30,str,,NoneType
22893210,78.68139522074519,float,30,str,,NoneType
26539181,9.648708486920224,float,30,str,,NoneType
22893210,73.07668718905535,float,30,str,,NoneType
1347793762,61.67134063486464,float,30,str,,NoneType
1420143010,21.02300677476877,float,30,str,,NoneType
22685874,56.23391339464559,float,,NoneType,,NoneType
672137590,25.029175303152282,float,,NoneType,,NoneType
22682378,58.89047792905616,float,,NoneType,,NoneType
672137590,77.02558801514364,float,,NoneType,,NoneType
288281160,6.960409111938824,float,,NoneType,,NoneType
288281161,1.548924016716303,float,,NoneType,2,str
672924362,4.318441416919242,float,,NoneType,,NoneType
673180521,12.18725663132194,float,30,str,,NoneType
673187703,72.78216501822818,float,30,str,,NoneType
26989311,82.60665122047632,float,30,str,,NoneType
1350005860,28.648395519749286,float,30,str,,NoneType
26989311,80.1274820220984,float,30,str,,NoneType
1353167251,94.03401643810516,float,30,str,,NoneType
20310063,87.91327002574606,float,30,str,,NoneType
26989311,96.29422366733579,float,30,str,,NoneType
20309901,9.317813226899492,float,30,str,,NoneType
26989311,74.0727279542383,float,30,str,,NoneType
20309506,47.67075392802953,float,30,str,,NoneType
20309901,1.1316300525714125,float,30,str,,NoneType
362916613,66.02408593902207,float,30,str,,NoneType
951274609,14.47436525345683,float,50,str,1,str
1228681005,5.8638084521065945,float,50,str,2,str
1355196516,64.6372775928174,float,30,str,,NoneType
20309914,98.78089818692563,float,30,str,,NoneType
20309928,74.62174192217759,float,30,str,,NoneType
20310580,110.24342323968038,float,30,str,,NoneType
297571765,79.86648773159237,float,,NoneType,2,str
673195452,5.688031547596977,float,30,str,,NoneType
20310063,93.41228816660048,float,30,str,,NoneType
504603254,80.4763860217761,float,30,str,,NoneType
673196825,3.3473417580541347,float,,NoneType,,NoneType
1189693525,24.570863815127158,float,50,str,1,str
20310292,6.754390297619861,float,30,str,,NoneType
435370279,82.46282138263574,float,30,str,,NoneType
1353167251,88.72104311439792,float,30,str,,NoneType
96640831,74.95728274350505,float,30,str,,NoneType
504603254,84.12819420682366,float,30,str,,NoneType
306487642,109.96768290416067,float,50,str,2,str
1350005834,10.170837102616415,float,30,str,,NoneType
504603254,25.27842822394408,float,30,str,,NoneType
1350005856,34.971755486738836,float,30,str,,NoneType
435370279,73.92887468080473,float,30,str,,NoneType
673180522,4.652995748681945,float,30,str,,NoneType
23731335,7.167248068665261,float,,NoneType,,NoneType
546580469,3.306626392737163,float,,NoneType,,NoneType
951274607,76.40508864160563,float,50,str,1,str
435370279,78.38887816246549,float,30,str,,NoneType
673187711,50.3763639818979,float,,NoneType,,NoneType
672141056,80.21796089518323,float,30,str,,NoneType
1349802728,31.037952953328396,float,30,str,,NoneType
20310067,95.15052892096217,float,30,str,,NoneType
20310591,1.473247639966936,float,30,str,,NoneType
19851619,57.22361155601175,float,30,str,,NoneType
346640091,66.95694744018589,float,30,str,,NoneType
20316164,123.47986357781491,float,30,str,,NoneType
346643805,98.29370381750748,float,30,str,,NoneType
672983302,9.380715817498384,float,30,str,,NoneType
1234974036,4.550954979163246,float,30,str,,NoneType
292525352,112.83355239472107,float,30,str,1,str
566032571,50.984129029128226,float,30,str,1,str
287251036,59.666538968400026,float,30,str,1,str
566032575,29.044247240926254,float,30,str,1,str
1173712520,64.91899561702719,float,30,str,1,str
566032576,34.65781518148363,float,30,str,1,str
1315431867,51.76263576145152,float,30,str,1,str
22878415,74.55840587237496,float,30,str,,NoneType
1180236962,0.7921437281971955,float,,NoneType,,NoneType
459903184,3.460147069572779,float,,NoneType,2,str
1340620697,6.32811118877586,float,,NoneType,1,str
33851628,74.53786857261342,float,,NoneType,3,str
561602896,4.118802500709835,float,30,str,,NoneType
672925939,3.877781925433376,float,,NoneType,,NoneType
904431763,25.65473563064528,float,,NoneType,2,str
58104322,8.004627084456388,float,,NoneType,4,str
1302200242,10.59583142322834,float,50,str,4,str
516952806,3.161274613348127,float,,NoneType,2,str
142265574,11.87177601499822,float,50,str,2,str
259559439,3.406950453774265,float,,NoneType,3,str
672126626,3.2253725204402133,float,,NoneType,3,str
436456862,10.457575629616432,float,,NoneType,3,str
593784302,23.599576848896017,float,50,str,3,str
1150967954,25.255705201441543,float,50,str,3,str
1390468662,8.549894065028242,float,30,str,2,str
317181920,17.129421399005636,float,50,str,3,str
750290400,6.611542226993313,float,30,str,2,str
750290400,94.01033634246453,float,30,str,2,str
1390469069,8.56857748981228,float,30,str,2,str
22893208,75.18758257073458,float,,NoneType,,NoneType
